fingerprint,ipaddr,port,stix_pattern,label_name,label_color,marking_type,marking_value,marking_priority
CD1D703E667366A5474E4FF6B1BE6D0C9178B2B0,2a02:8109:f04:9200:ba85:84ff:fea9:1154,9001,[ipv6-addr:value = '2a02:8109:f04:9200:ba85:84ff:fea9:1154' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CD1FD2C1F330A3293DA6068E6A23866D063D6DCB,2a0e:e701:1198::1,443,[ipv6-addr:value = '2a0e:e701:1198::1' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
CD2A63AA540A39B2E3772C7B4E4EB2B82140E8B0,2a0f:5707:aaf1:74::1,9001,[ipv6-addr:value = '2a0f:5707:aaf1:74::1' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CD2DD52B8A0AF0C212CCD3402507402B58703B7D,2a12:a800:9:1:45:88:186:92,143,[ipv6-addr:value = '2a12:a800:9:1:45:88:186:92' AND network-traffic:src_port = 143],tor,#57C101,TLP,TLP:CLEAR,1
CD478DBDF96F456C386E2BE52670E76A815EDBF3,2a02:a445:4f0f:0:397c:e568:dd49:ed4d,9001,[ipv6-addr:value = '2a02:a445:4f0f:0:397c:e568:dd49:ed4d' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CD5E21D918B5E7BE18197E5566FACA8BC4D3C3E1,2a0a:4cc0:2000:cd4c::12,9005,[ipv6-addr:value = '2a0a:4cc0:2000:cd4c::12' AND network-traffic:src_port = 9005],tor,#57C101,TLP,TLP:CLEAR,1
CD685F61CDDAF92EA1944DC8ACDCD2E2AA7A8AC2,2a03:e600:100::5,9003,[ipv6-addr:value = '2a03:e600:100::5' AND network-traffic:src_port = 9003],tor,#57C101,TLP,TLP:CLEAR,1
CD7A803F1B3711715438753E6B287925E3D039AD,2001:41d0:305:2100::8448,9300,[ipv6-addr:value = '2001:41d0:305:2100::8448' AND network-traffic:src_port = 9300],tor,#57C101,TLP,TLP:CLEAR,1
CDA2C336AD87E22DF02983887A3F74B21070D02D,2a03:4000:42:78:c4f9:9fff:fefa:980c,9001,[ipv6-addr:value = '2a03:4000:42:78:c4f9:9fff:fefa:980c' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CDA71E2FAEE3F0A33DA344E254AF5E30A8926F88,2a0d:bbc7::f816:3eff:fe77:3729,5349,[ipv6-addr:value = '2a0d:bbc7::f816:3eff:fe77:3729' AND network-traffic:src_port = 5349],tor,#57C101,TLP,TLP:CLEAR,1
